,clusters,Latitude,Longitude,geometry
25284,0,8.530902000000001,123.362045,POINT (123.362045 8.530902000000001)
25285,0,8.066936,122.51880600000001,POINT (122.518806 8.066936)
25286,2,8.089397,123.50516100000002,POINT (123.505161 8.089397)
25287,0,8.062077,123.535459,POINT (123.535459 8.062077)
25288,0,8.006877000000001,123.641456,POINT (123.641456 8.006877000000001)
25289,2,7.940372,123.62438700000001,POINT (123.624387 7.940372)
25290,2,7.8190610000000005,123.384851,POINT (123.384851 7.819061)
25291,2,8.598842999999999,123.38796200000002,POINT (123.387962 8.598842999999999)
25292,2,8.316475,123.519974,POINT (123.519974 8.316475000000001)
25293,2,7.466603,122.06961100000001,POINT (122.069611 7.466603)
25294,1,7.6399550000000005,123.202577,POINT (123.202577 7.639955)
25295,1,6.997871000000001,121.95249,POINT (121.95249 6.997871000000001)
25297,2,8.108071,122.827789,POINT (122.827789 8.108071000000001)
25298,1,6.919444444,122.1527778,POINT (122.1527778 6.919444444)
25299,1,6.919722222000001,122.15083329999999,POINT (122.1508333 6.919722222000001)
25300,2,7.947581,123.58710900000001,POINT (123.587109 7.947581)
25301,2,8.48188,123.498001,POINT (123.498001 8.48188)
25302,0,7.354822361,122.88750120000002,POINT (122.8875012 7.354822361)
25303,2,7.947135,123.58543799999998,POINT (123.585438 7.947135)
25305,0,8.554541,123.488045,POINT (123.488045 8.554541)
25306,0,8.009936,123.30968899999999,POINT (123.309689 8.009936)
25307,0,7.554874436,123.02369070000002,POINT (123.0236907 7.554874436)
25308,0,7.617075999999999,123.339906,POINT (123.339906 7.617075999999999)
25309,2,7.532127,123.375096,POINT (123.375096 7.532127)
25310,2,7.889999,123.613827,POINT (123.613827 7.889999)
25311,2,7.986921000000001,122.25740800000001,POINT (122.257408 7.986921000000001)
25312,2,8.674706,123.415947,POINT (123.415947 8.674706)
25313,2,8.161366000000001,122.936668,POINT (122.936668 8.161366000000001)
25314,1,8.493765,123.445641,POINT (123.445641 8.493765)
25315,0,8.58798,123.53825400000001,POINT (123.538254 8.58798)
25317,2,8.110386,123.449394,POINT (123.449394 8.110386)
25318,0,8.12925,123.445274,POINT (123.445274 8.129250000000001)
25319,0,8.013506,123.40630700000001,POINT (123.406307 8.013506)
25322,1,7.849778,123.10381299999999,POINT (123.103813 7.849778)
25323,0,8.144883,123.31598999999999,POINT (123.31599 8.144883)
